n,execution_time
50,.018656391
100,.035734904
150,.038087372
200,.035653770
250,.104371766
300,.114622714
350,.180176576
400,.290588953
450,.717835786
500,3.509189870
550,1.231009014
600,.365460917
650,1.032985993
700,1.099468319
750,4.588691251
800,2.299469724
850,8.647098008
900,1.316534817
950,3.607109787
1000,2.904684360
